screen_id,screen_title,related_service,main_endpoint,role,status,notes
PARTNER_ORDERS_LIST,قائمة الطلبات,DSH,"/api/dls/partner/orders",partner,DRAFT,"قائمة بالطلبات مع cursor/limit"
PARTNER_ORDER_DETAILS,تفاصيل الطلب,DSH,"/api/dls/partner/orders/{order_id}",partner,DRAFT,"عرض تفاصيل الطلب"
PARTNER_ORDER_ACTIONS,إجراءات الطلب,DSH,"/api/dls/partner/orders/{order_id}/accept",partner,DRAFT,"قبول/رفض/جاهزية/تسليم الطلب"
PARTNER_CHAT,دردشة الطلب,DSH,"/api/dls/partner/orders/{order_id}/chat/messages",partner,DRAFT,"إرسال واستعراض الرسائل"
PARTNER_CHAT_HISTORY,سجل الدردشة,DSH,"/api/dls/partner/orders/{order_id}/chat/messages",partner,DRAFT,"استعراض رسائل الشريك مع العملاء"
PARTNER_CHAT_READ_ACK,تأكيد قراءة الدردشة,DSH,"/api/dls/partner/orders/{order_id}/chat/read-ack",partner,DRAFT,"تأشير الرسائل كمقروءة"
PARTNER_ORDER_NOTES,ملاحظات الطلب,DSH,"/api/dls/partner/orders/{order_id}/notes",partner,DRAFT,"إنشاء واستعراض الملاحظات"
PARTNER_ORDER_NOTES_CREATE,إضافة ملاحظة,DSH,"/api/dls/partner/orders/{order_id}/notes",partner,DRAFT,"إضافة ملاحظة داخل سجل الطلب"
PARTNER_ORDER_TIMELINE,الخط الزمني للطلب,DSH,"/api/dls/partner/orders/{order_id}/timeline",partner,DRAFT,"عرض الأحداث للتدقيق"
PARTNER_PICKUP_CLOSE,إقفال الاستلام الذاتي,DSH,"/api/dls/partner/orders/{order_id}/pickup/close",partner,DRAFT,"إقفال الطلب باستخدام رمز"
PARTNER_ORDER_READY,تأكيد جاهزية الطلب,DSH,"/api/dls/partner/orders/{order_id}/ready",partner,DRAFT,"إقرار تجهيز الطلب للتسليم"
PARTNER_ORDER_REJECT,رفض الطلب,DSH,"/api/dls/partner/orders/{order_id}/reject",partner,DRAFT,"رفض الطلب مع توثيق السبب"
PARTNER_ORDER_HANDOFF,تسليم للمنصة,DSH,"/api/dls/partner/orders/{order_id}/handoff",partner,DRAFT,"تسليم الطلب لكابتن المنصة"
PARTNER_POLICIES,أوضاع التوصيل,DSH,"/api/dls/partners/me/policies",partner,DRAFT,"عرض/تحديث سياسات التوصيل"
PARTNER_POLICIES_UPDATE,تحديث سياسات التوصيل,DSH,"/api/dls/partners/me/policies",partner,DRAFT,"تحديث خيارات التوصيل والقنوات"
PARTNER_ZONES,نطاقات التغطية,DSH,"/api/dls/partners/me/zones",partner,DRAFT,"عرض/تحديث مناطق التغطية"
PARTNER_ZONES_UPDATE,تعديل مناطق التغطية,DSH,"/api/dls/partners/me/zones",partner,DRAFT,"تعديل الحدود الجغرافية للتغطية"
PARTNER_SLOTS,فترات الاستلام/التوصيل,DSH,"/api/dls/partners/me/slots",partner,DRAFT,"إدارة الفترات"
PARTNER_SLOTS_UPSERT,إضافة/تعديل فترة,DSH,"/api/dls/partners/me/slots",partner,DRAFT,"إضافة أو تعديل فترة متاحة"
PARTNER_SLOTS_DELETE,حذف فترة,DSH,"/api/dls/partners/me/slots/{slot_id}",partner,DRAFT,"إزالة فترة غير مرغوبة"
PARTNER_INVENTORY_ADJUST,تعديل المخزون,DSH,"/api/dls/partners/me/inventory/adjust",partner,DRAFT,"ضبط المخزون لعناصر محددة"
PARTNER_NOTIFICATIONS_DISPATCH,إرسال تذكير,DSH,"/api/dls/partners/{partner_id}/notifications",partner,DRAFT,"إرسال تذكيرات أو تنبيهات للشريك"
PARTNER_RECEIPT_ISSUE,إصدار الفاتورة النهائية,DSH,"/api/dls/partner/orders/{order_id}/receipt/issue",partner,DRAFT,"إصدار إيصال نهائي"

